#,Company Name,Company Website,Sector Classification,Brief Company Description,HQ Location,Where will roles be located? (post COVID-19),Stage - Series,Current Team Size,Link to Job Postings,Apprx. Total Roles Open,Open to Part-time or Internships?,Engineering,Design,Operations,Sales and Marketing,"Other (PM, Data Science, Legal, etc)",Software Engineer,Frontend Engineer,Backend Engineer,Full Stack Engineer,Mobile Developer,QA Engineer,DevOps,Software Architect,Hardware Engineer,Mechanical Engineer,Systems Engineer,UI/UX Designer,User Researcher,Visual Designer,Creative Director,Finance/ Accounting,Human Resources,Office Manager,Talent/Recruiting,Customer Service,Operations Manager,Executive Assistant,Business Development Representative,Sales Development Representative,Account Executive,Business Development Manager,Account Manager,Sales Manager,Marketer,Marketing Manager,Growth,Customer Success,Business Analyst,Data Scientist,Product Manager,Project Manager,Attorney
1,TrueAccord,www.trueaccord.com,Enterprise Technology,"TrueAccord is a category-defining, financial tech company specialized in digital collections. We combine machine learning with a human based approach to assist both clients and consumers through a challenging financial process.",US/California,"Remote (post COVID-19), At HQ (as listed above), Kansas, Missouri",Series B,,https://www.trueaccord.com/about-us/careers/,11-20,,X,X,X,,X,X,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,
2,PlayVS,https://www.playvs.com/,Consumer Technology,"PlayVS is an esports competition platform dedicated to inclusivity, teamwork and sportsmanship. The official esports partner of the NFHS.",US/California,At HQ (as listed above),Series C,11-50 FTE,https://www.playvs.com/careers,1-5,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Juvo,https://www.juvo.com/,Enterprise Technology,Building Financial Identities for 4 Billion People Globally. Juvo uses everyday mobile transactions to bring the world's underbanked population into the formal financial system.,US/California,At HQ (as listed above),Series C,51-100 FTE,https://www.juvo.com/careers,1-5,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hackerone,https://www.hackerone.com/,Enterprise Technology,HackerOne is a vulnerability coordination and bug bounty platform that connects businesses with penetration testers and cybersecurity researchers.,US/California,At HQ (as listed above),Series D,101-500 FTE,https://www.hackerone.com/careers,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Masterclass,https://www.masterclass.com/,Consumer Technology,MasterClass offers online classes created for students of all skill levels. Our instructors are the best in the world.,US/California,At HQ (as listed above),Series E+,51-100 FTE,https://careers.masterclass.com/index.html,1-5,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
6,The Yes,https://theyes.com/,Consumer Technology,The Yes is building the next generation shopping experience from the ground up. Our vision is to create a highly differentiated and personalized experience for consumers that revolutionizes the way people shop.,US/New York,At HQ (as listed above),Series B,11-50 FTE,https://jobs.lever.co/the-yes/,1-5,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
7,Sisu Data,https://sisu.ai/,Enterprise Technology,Sisu is the fastest and most comprehensive way to diagnose why your most important business metrics are changing.,US/California,At HQ (as listed above),Series B,11-50 FTE,https://jobs.lever.co/sisu/,1-5,,X,X,,,X,,X,X,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,
8,Philo,https://try.philo.com/,Consumer Technology,Live & on-demand TV.,US/California,,Series C,11-50 FTE,https://boards.greenhouse.io/philo/,1-5,,X,X,,X,,,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,
9,Smartcar,www.smartcar.com,Enterprise Technology,Standardized API for Cars,US/California,At HQ (as listed above),Series A,11-50 FTE,www.smartcar.com/careers,1-5,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
10,Expanse,https://www.expanse.co/,Enterprise Technology,Expanse is an enterprise software company and the leader in Internet Operations Management. We build a System of Record of all Internet Assets for the world’s largest organizations.,US/California,,Series C,101-500 FTE,https://www.expanse.co/careers/,1-5,,X,,,,X,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
11,ForAllSecure,https://www.forallsecure.com/,Enterprise Technology,ForAllSecure was founded with the mission to make the world’s critical software safe. Its Mayhem technology is a next-gen fuzzing solution that automatically uncovers defects at machine scale and speed.,US/California,,Series A,1-10 FTE,https://www.forallsecure.com/careers/,1-5,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pipe.com,https://pipe.com,Enterprise Technology,Non-dilutive funding for SaaS companies,US/California,"Remote (post COVID-19), At HQ (as listed above), LA/SF/Remote",Series A,1-10 FTE,,11-20,,X,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,X,,X,,,
13,Truework,www.truework.com,Enterprise Technology,"Employment and Income verifications simplified. Truework gives employees control over employment, income, and other identity data.",US/California,"At HQ (as listed above), SLC",Series A,11-50 FTE,https://www.truework.com/careers/,6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bond,https://www.bond.tech/,Enterprise Technology,FinTech infrastructure platform,US/California,"At HQ (as listed above), Salt Lake City",Series A,11-50 FTE,https://www.bond.tech/#career,20+,,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,X,,X,,,X,,,,X,,,,,,X,X,X,X,,,X,,X
15,Earnest,https://www.earnest.com/,Consumer Technology,Online lender focused on student loan refinance and private student loans,US/California,"Remote (post COVID-19), At HQ (as listed above), SLC as well",,101-500 FTE,https://www.earnest.com/careers,20+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Universe,https://onuniverse.com/,Consumer Technology,Universe is the world's first website builder designed for mobile phones,Fully Remote (not only during COVID-19),Remote (post COVID-19),Series A,,,6-10,,X,X,X,X,X,X,,,,X,,,,,,,X,,,X,,,,,X,X,,,,,,,,,X,X,,,,X,,
17,walrus.ai,https://walrus.ai,Enterprise Technology,An API for automated end-to-end tests in minutes.,US/California,Role is on-site OR full-time remote.,Seed,1-10 FTE,https://walrus.ai/jobs,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wantedly Singapore,Sg.wantedly.com,Enterprise Technology,Social hiring and employer branding platform,Singapore,At HQ (as listed above),Seed,1-10 FTE,https://sg.wantedly.com/projects/427944,1-5,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
19,Grifin,www.grifin.com,Consumer Technology,"Grifin is a mobile app that lets you buy stock where you shop! When you buy your next cup of Starbucks coffee, you'll automatically buy $1 of Starbucks stock. Ordered something on Amazon? You just bought $1 of Amazon stock.
 
 The Grifin app is set to launch in mid/late April, so we're looking for a few well-rounded team members to help us grow our MVP into a product that people love.",US/Florida,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,"N/A, email bo@grifin.com with resume and a few paragraphs about what you're passionate about.",1-5,,X,X,,X,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tatch,www.tatch.com,Healthcare,"Sleep disorders are a hidden epidemic which reduces quality and length of life for more than 10% of the population. The difficulty in diagnosing and monitoring sleep conditions is a major obstacle to the health of 100MMs of people worldwide.
 
 Tatch is transforming sleep diagnostics by shrinking an entire sleep lab to a single wearable patch, helping millions live better, longer lives. Our platform delivers consumer comfort with clinical performance by using cutting-edge sensor design, a cloud-native suite of state-of-the-art algorithms and a sleek mobile app, creating a seamless experience for both patient and doctor.",US/New York,At HQ (as listed above),Seed,1-10 FTE,,6-10,,X,,,X,X,,X,X,,X,X,,,X,,,,,,,,,,,,,,,,,X,,,,X,,,,,X,,
21,Visionairy Health,Visionairyhealth.com,Healthcare,AI solutions for medical imaging,US/Massachusetts,At HQ (as listed above),Seed,1-10 FTE,Visionairyhealth.com/careers,1-5,,X,,,X,,X,,X,X,,X,X,,,,,,,,,,,,,,,,X,,,X,,X,,,,,,,,,
22,Codecademy,codecademy.com,Consumer Technology,Empower people to transform their personal and professional lives by helping them learn modern skills.,US/New York,At HQ (as listed above),,51-100 FTE,https://www.codecademy.com/about/careers,11-20,,X,X,X,X,X,X,X,X,X,,,X,,,,,X,,X,,X,,,,X,,,X,X,,,,,X,X,X,X,X,X,X,,
23,"Slope.io, Inc.",www.slope.io,Healthcare,"Slope helps build, automate, and manage supply chains for clinical trials.",Fully Remote (not only during COVID-19),Remote (post COVID-19),Seed,1-10 FTE,,1-5,,X,,X,X,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,
24,Hugging Face,huggingface.co,Enterprise Technology,"Democratizing NLP, one commit at a time!",US/New York,"At HQ (as listed above), At HQ in Paris, France",Series A,11-50 FTE,https://angel.co/company/hugging-face/jobs,20+,,X,,X,X,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,
25,Productiv,www.productiv.com,Enterprise Technology,"We’re Productiv, the application engagement analytics company for IT leaders who are rethinking SaaS management.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series B,11-50 FTE,https://boards.greenhouse.io/productiv?t=d54a7dd83,11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
